"analysis","pair","outcome_binary","method","b","se","p","OR","OR_lo","OR_hi","n_snps","F_stat","egger_intercept_p","cochran_Q_p"
"Layer1","FEV1 -> intel",FALSE,"Inverse variance weighted",0.135572341412645,0.0307640198181988,1.04886016244366e-05,NA,NA,NA,169,64.27,0.395169752024395,3.25479177458124e-60
"Layer1","FEV1 -> intel",FALSE,"MR Egger",0.215372771786993,0.0985433457296617,0.0302398603812751,NA,NA,NA,169,64.27,0.395169752024395,4.80135048267602e-60
"Layer1","FEV1 -> intel",FALSE,"Weighted median",0.0961824675014576,0.0286735043359115,0.000795366485593413,NA,NA,NA,169,64.27,0.395169752024395,NA
"Layer1","FEV1 -> intel",FALSE,"Weighted mode",0.0580371249051264,0.0946112851670684,0.540423611586467,NA,NA,NA,169,64.27,0.395169752024395,NA
"Layer1","FEV1 -> cogperf",FALSE,"Inverse variance weighted",0.124965419024169,0.0313100519015639,6.57332593826822e-05,NA,NA,NA,193,63.96,0.32292560661282,1.01973499143389e-85
"Layer1","FEV1 -> cogperf",FALSE,"MR Egger",0.21438790591996,0.0955103628172168,0.025937255184466,NA,NA,NA,193,63.96,0.32292560661282,2.68320096921278e-85
"Layer1","FEV1 -> cogperf",FALSE,"Weighted median",0.122502732514122,0.0274119638128835,7.86040067244307e-06,NA,NA,NA,193,63.96,0.32292560661282,NA
"Layer1","FEV1 -> cogperf",FALSE,"Weighted mode",0.133643477890907,0.0915246843534369,0.145872063179216,NA,NA,NA,193,63.96,0.32292560661282,NA
"Layer1","FEV1 -> AD_overall",TRUE,"Inverse variance weighted",-0.0953129807109143,0.0556059223345103,0.0865140959428691,0.909088362815757,0.815217289423519,1.01376855242049,193,63.96,0.722402281940424,3.53199009878696e-09
"Layer1","FEV1 -> AD_overall",TRUE,"MR Egger",-0.0370902738508057,0.172880612551395,0.830352753065545,0.963589144519944,0.686646088546706,1.3522308725327,193,63.96,0.722402281940424,2.80180441217899e-09
"Layer1","FEV1 -> AD_overall",TRUE,"Weighted median",-0.0433775018876036,0.0693445288218362,0.531619302866388,0.957549844955398,0.835861141499296,1.09695457780158,193,63.96,0.722402281940424,NA
"Layer1","FEV1 -> AD_overall",TRUE,"Weighted mode",0.0891976732207458,0.253907247239014,0.725748323762204,1.09329675045751,0.664672705696407,1.79832536271906,193,63.96,0.722402281940424,NA
"Layer1","FEV1 -> AD_LOAD",TRUE,"Inverse variance weighted",-0.150178939573816,0.1016107059825,0.139412213914214,0.860553975485419,0.705156212077576,1.05019729251465,168,64.43,0.965348485179611,0.0217181800245573
"Layer1","FEV1 -> AD_LOAD",TRUE,"MR Egger",-0.135389136191065,0.354878308400633,0.70331375222597,0.873375983349586,0.435634965824803,1.75097425168259,168,64.43,0.965348485179611,0.0191175594649865
"Layer1","FEV1 -> AD_LOAD",TRUE,"Weighted median",-0.2292523752554,0.135970877726405,0.0917880434258295,0.795127837589731,0.609110674900287,1.03795304229994,168,64.43,0.965348485179611,NA
"Layer1","FEV1 -> AD_LOAD",TRUE,"Weighted mode",-0.413888350109819,0.59056812886798,0.484383928689592,0.661074756069603,0.207753731754425,2.10354745217797,168,64.43,0.965348485179611,NA
"Layer1","FEV1 -> hippocampus",FALSE,"Inverse variance weighted",0.0120622276689275,0.0481425107167048,0.802160089775661,NA,NA,NA,195,64.34,0.729445366194095,0.000318883266094239
"Layer1","FEV1 -> hippocampus",FALSE,"MR Egger",-0.0361464903491965,0.147311221146122,0.806426807364202,NA,NA,NA,195,64.34,0.729445366194095,0.000273801921355376
"Layer1","FEV1 -> hippocampus",FALSE,"Weighted median",-0.0582574960441268,0.0648754381924046,0.369190870073122,NA,NA,NA,195,64.34,0.729445366194095,NA
