"pair","analysis_n","egger_intercept_p","cochran_Q_p","steiger_R2_exp","steiger_R2_out","steiger_z","steiger_p","steiger_dir","loo_min_b","loo_max_b","loo_all_b","loo_all_p"
"FEV1 -> intel",169,0.395169752024395,3.25479177458124e-60,9.66545327975823e-05,1.68973902999884e-05,35.5965120247783,1.58630900953729e-277,"to_outcome",0.123699356437035,0.142573721572118,0.135572341412645,1.04886016244366e-05
"FEV1 -> cogperf",193,0.32292560661282,1.01973499143389e-85,9.68720336476264e-05,1.97415317910285e-05,35.5156909128478,2.81448129984695e-276,"to_outcome",0.114000006591947,0.133834334627589,0.124965419024169,6.57332593826822e-05
"FEV1 -> AD_overall",193,0.722402281940424,3.53199009878696e-09,9.68720336476264e-05,5.83806557324275e-05,5.79704541759805,6.74934174927851e-09,"to_outcome",NA,NA,NA,NA
"FEV1 -> AD_LOAD",168,0.965348485179611,0.0217181800245573,9.67178359505608e-05,0.000210078794711719,-1.86137694696068,0.0626909637385707,"to_exposure",NA,NA,NA,NA
"FEV1 -> hippocampus",195,0.729445366194095,0.000318883266094239,9.74639866703654e-05,4.37158708856574e-05,9.57343767134591,1.03408871890485e-21,"to_outcome",NA,NA,NA,NA
"FEV1adj -> intel",149,0.842930077190329,2.66886182353007e-67,7.11208436348812e-05,1.86141361939412e-05,26.0865433597285,5.1821324138525e-150,"to_outcome",0.127969933314517,0.15161799319596,0.143563056642941,0.000395204846234356
"FEV1adj -> cogperf",176,0.770537264514081,9.40432910155437e-80,7.00340287363745e-05,1.98788133005306e-05,26.3610536554519,3.83370376921566e-153,"to_outcome",0.132426528563611,0.154618879113668,0.145719590327826,0.000168608506440929
"FEV1adj -> AD_overall",179,0.635883827594148,4.04588787347843e-10,7.00975250366802e-05,6.0563316904832e-05,1.38080572708013,0.167338702119408,"to_outcome",NA,NA,NA,NA
"FEV1adj -> AD_LOAD",145,0.304748905208692,0.000145571040911586,7.06522778498451e-05,0.00022248340035058,-4.75722381243458,1.96273520024929e-06,"to_exposure",NA,NA,NA,NA
"FEV1adj -> hippocampus",184,0.840966115293376,0.035764168761495,6.95160473255513e-05,3.78117757519293e-05,6.01321344867163,1.81881295818356e-09,"to_outcome",NA,NA,NA,NA
"COPD -> intel",9,0.392411426269253,0.000615019140403566,0.0055267261962829,2.88693281368042e-05,8.53045566206527,1.45772395212035e-17,"to_outcome",NA,NA,NA,NA
"COPD -> cogperf",10,0.863799151527645,0.000508808942564634,0.00524860460476597,2.38365099961094e-05,8.87424691485373,7.04082001691299e-19,"to_outcome",NA,NA,NA,NA
"COPD -> AD_overall",11,0.324829610810337,0.015458862802629,0.00500108676457822,0.000159476616138193,8.83382113092763,1.01159363751428e-18,"to_outcome",-0.110080773146543,-0.071374660329001,-0.0930203310922609,0.0190285487430357
"COPD -> AD_LOAD",9,0.698984295320211,0.0563077522727663,0.00521846501069666,0.000568607325202527,6.76567311774185,1.32690826410635e-11,"to_outcome",NA,NA,NA,NA
"COPD -> hippocampus",11,0.253864239201997,0.316320835878919,0.00500108676457822,5.48331081753519e-05,9.12967242021416,6.87068749409785e-20,"to_outcome",NA,NA,NA,NA
